   lon          lat            geox            geoy        i     j     g 
   196.34173    64.868772       -456150.0       1689650.0    64     4   256 
   196.21056    64.859643       -462450.0       1689550.0     1     5   257 
   196.21265    64.859775       -462350.0       1689550.0     2     5   258 
   196.21473    64.859906       -462250.0       1689550.0     3     5   259 
   196.21682    64.860038       -462150.0       1689550.0     4     5   260 
   196.21891    64.860170       -462050.0       1689550.0     5     5   261 
   196.22099    64.860301       -461950.0       1689550.0     6     5   262 
   196.22308    64.860433       -461850.0       1689550.0     7     5   263 
   196.22517    64.860564       -461750.0       1689550.0     8     5   264 
   196.22725    64.860696       -461650.0       1689550.0     9     5   265 
   196.22934    64.860827       -461550.0       1689550.0    10     5   266 
   196.23142    64.860959       -461450.0       1689550.0    11     5   267 
   196.23351    64.861090       -461350.0       1689550.0    12     5   268 
   196.23560    64.861221       -461250.0       1689550.0    13     5   269 
   196.23768    64.861353       -461150.0       1689550.0    14     5   270 
   196.23977    64.861484       -461050.0       1689550.0    15     5   271 
   196.24186    64.861615       -460950.0       1689550.0    16     5   272 
   196.24394    64.861747       -460850.0       1689550.0    17     5   273 
   196.24603    64.861878       -460750.0       1689550.0    18     5   274 
   196.24812    64.862009       -460650.0       1689550.0    19     5   275 
   196.25020    64.862140       -460550.0       1689550.0    20     5   276 
   196.25229    64.862272       -460450.0       1689550.0    21     5   277 
   196.25438    64.862403       -460350.0       1689550.0    22     5   278 
   196.25646    64.862534       -460250.0       1689550.0    23     5   279 
   196.25855    64.862665       -460150.0       1689550.0    24     5   280 
   196.26064    64.862796       -460050.0       1689550.0    25     5   281 
   196.26273    64.862927       -459950.0       1689550.0    26     5   282 
   196.26481    64.863058       -459850.0       1689550.0    27     5   283 
   196.26690    64.863189       -459750.0       1689550.0    28     5   284 
   196.26899    64.863320       -459650.0       1689550.0    29     5   285 
   196.27107    64.863451       -459550.0       1689550.0    30     5   286 
   196.27316    64.863582       -459450.0       1689550.0    31     5   287 
   196.27525    64.863712       -459350.0       1689550.0    32     5   288 
   196.27733    64.863843       -459250.0       1689550.0    33     5   289 
   196.27942    64.863974       -459150.0       1689550.0    34     5   290 
   196.28151    64.864105       -459050.0       1689550.0    35     5   291 
   196.28359    64.864236       -458950.0       1689550.0    36     5   292 
   196.28568    64.864366       -458850.0       1689550.0    37     5   293 
   196.28777    64.864497       -458750.0       1689550.0    38     5   294 
   196.28986    64.864628       -458650.0       1689550.0    39     5   295 
   196.29194    64.864758       -458550.0       1689550.0    40     5   296 
   196.29403    64.864889       -458450.0       1689550.0    41     5   297 
   196.29612    64.865020       -458350.0       1689550.0    42     5   298 
   196.29820    64.865150       -458250.0       1689550.0    43     5   299 
